    0.148073288752135772E+04    0.272201703193191547E+01    0.179962613913472893E+02   -0.773744791514125268E+03
    0.148016461141083823E+04    0.269247149992954338E+01    0.208378198819887643E+02   -0.772892085970810285E+03
    0.148301990800541671E+04    0.270171304242260302E+01    0.202077994035463320E+02   -0.771154195692904295E+03
    0.148004977735142666E+04    0.276303153979913052E+01    0.186650326799530148E+02   -0.770755791150223786E+03
    0.148169365200512243E+04    0.276064215043693917E+01    0.192185953713094051E+02   -0.770667729020262300E+03
    0.148398912513425398E+04    0.271661994544159935E+01    0.205717744105928375E+02   -0.770596425060838783E+03
    0.147709592898178789E+04    0.277305085801673323E+01    0.204572888755181879E+02   -0.770567998383223198E+03
    0.148118350329074656E+04    0.269998723271669805E+01    0.209811780290293655E+02   -0.770482030528316500E+03
    0.148281214826262431E+04    0.271544264509371125E+01    0.194309180066223490E+02   -0.770477307766418903E+03
    0.148038225269497980E+04    0.275228590902995318E+01    0.229161461364995773E+02   -0.769950329611284815E+03
    0.147762459675020455E+04    0.277013809956543522E+01    0.199178724850193873E+02   -0.769711229738044494E+03
    0.147836288533416518E+04    0.277171354372394729E+01    0.194863484182166644E+02   -0.769640814055057945E+03
    0.147893426837171342E+04    0.271129884655514086E+01    0.207891937738640848E+02   -0.769600110092020259E+03
    0.147977335368006720E+04    0.272641477728914383E+01    0.189482933961021303E+02   -0.769584096285215310E+03
    0.147982856058500579E+04    0.274637664926227743E+01    0.187228255088663644E+02   -0.769520411873488911E+03
    0.148289604838479045E+04    0.273511162362614080E+01    0.197586953697224317E+02   -0.769395217102537231E+03
    0.147818006124661588E+04    0.272901545248654598E+01    0.196111882985229329E+02   -0.769301711549768470E+03
    0.147738580085446210E+04    0.273562545368176169E+01    0.203598566889739772E+02   -0.769297178745599581E+03
    0.148082189002873611E+04    0.277048734826643006E+01    0.217772368243235945E+02   -0.769286868518743631E+03
    0.147893324196990557E+04    0.277824744985077476E+01    0.215413065234405678E+02   -0.769186747556617888E+03
    0.148279966595413180E+04    0.273672567183408599E+01    0.218919602998403064E+02   -0.769182754105307595E+03
    0.148050947314407517E+04    0.276191270025717284E+01    0.224053706777973503E+02   -0.769155112756352992E+03
    0.147788653070924352E+04    0.272874976475083342E+01    0.201015098034734336E+02   -0.769075241350674105E+03
    0.147756054598275614E+04    0.274801013766807323E+01    0.197987083766568333E+02   -0.769071784407860150E+03
    0.148309620399117125E+04    0.274010870585619548E+01    0.208509949758328332E+02   -0.769070383394264695E+03
    0.148015426996113388E+04    0.276728155999196224E+01    0.221924698175980382E+02   -0.769010806925996349E+03
    0.148031409230480517E+04    0.275170529954651766E+01    0.189462081324965652E+02   -0.769009186299797307E+03
    0.148042837818962062E+04    0.277276347293314540E+01    0.199872027889497019E+02   -0.769004443720640666E+03
    0.147864184206080222E+04    0.272267013836537286E+01    0.215938047040063168E+02   -0.768823217647213482E+03
    0.148150843360586259E+04    0.273742652253901131E+01    0.191695057685832495E+02   -0.768785533707030709E+03
    0.147881380782155725E+04    0.277681138034852504E+01    0.203156309419959769E+02   -0.768704166105366426E+03
    0.147980722568689771E+04    0.277169956658711714E+01    0.197716304589473424E+02   -0.768691227609786779E+03
    0.148106737738196603E+04    0.271057966221305247E+01    0.201817651433021013E+02   -0.768678889571953960E+03
    0.148102561590734217E+04    0.272745034571394607E+01    0.192029628745016936E+02   -0.768649897150924744E+03
    0.148062186102053647E+04    0.270929341692147219E+01    0.208457273165016517E+02   -0.768638705622112184E+03
    0.147837704652521484E+04    0.277369318043134383E+01    0.202870823150711317E+02   -0.768624856087927583E+03
    0.147819779457977643E+04    0.274399712778155180E+01    0.219660426341701935E+02   -0.768534088358669123E+03
    0.148188676113030510E+04    0.272354899685383467E+01    0.220547977671084112E+02   -0.768524679167963086E+03
    0.148249149344230523E+04    0.274815693959647067E+01    0.210222724141923010E+02   -0.768502074070486970E+03
    0.147895992123209726E+04    0.277636649207037234E+01    0.211111393201059485E+02   -0.768491454242005261E+03
    0.148201834080327262E+04    0.271266742526437499E+01    0.210190122569661639E+02   -0.768391585853692504E+03
    0.147931358768728796E+04    0.277092812461751592E+01    0.217497711580211757E+02   -0.768389504612200540E+03
    0.148192547524197380E+04    0.272250166076026057E+01    0.219351524961450792E+02   -0.768383697748966142E+03
    0.147914850725496512E+04    0.271682709034237480E+01    0.206080274231816389E+02   -0.768380513745860640E+03
    0.148245857436895540E+04    0.272509539971128412E+01    0.199488527363792514E+02   -0.768376707957824806E+03
    0.147775077434757804E+04    0.275226297679057730E+01    0.200345150615696355E+02   -0.768354850666425477E+03
    0.148262857776150372E+04    0.272127037124194437E+01    0.213293880425887323E+02   -0.768322783528187983E+03
    0.148064372255352487E+04    0.271147238468823071E+01    0.208954387482966268E+02   -0.768258650569358906E+03
    0.147894728796270351E+04    0.272902482088072906E+01    0.219006422822107965E+02   -0.768244620522377431E+03
    0.148106180077144336E+04    0.271225491952712927E+01    0.203919839756309358E+02   -0.768221448740374854E+03
    0.148112107499740591E+04    0.271998809751537340E+01    0.219305251215980519E+02   -0.768216438524258592E+03
    0.147931593448410786E+04    0.272288937903335659E+01    0.197706442576967731E+02   -0.768216014078809394E+03
    0.147950504932138711E+04    0.275205487992739650E+01    0.223651402202906553E+02   -0.768198703939688471E+03
    0.148038270533274704E+04    0.271248464367335185E+01    0.209806716669155549E+02   -0.768193476337671200E+03
    0.147962436889302717E+04    0.271811223013175374E+01    0.214885936208697927E+02   -0.768190580697084670E+03
    0.147856989305991647E+04    0.274381565660748983E+01    0.220189622527598772E+02   -0.768103565585630804E+03
    0.147946655587251553E+04    0.275510227714837441E+01    0.222613439225324043E+02   -0.768058844140043902E+03
    0.148237123542879067E+04    0.273101888429940587E+01    0.200091324184967050E+02   -0.768036700815371205E+03
    0.147966209316967752E+04    0.272002415676643405E+01    0.215918935429930059E+02   -0.768035403978116847E+03
    0.148001474427954781E+04    0.276901140591757144E+01    0.200287974981932422E+02   -0.768028197165822576E+03
    0.148182446246332916E+04    0.271487196678811227E+01    0.210731576219555592E+02   -0.768017561677349249E+03
    0.147851282427549722E+04    0.277078373709520864E+01    0.209951641583598985E+02   -0.768007302244431685E+03
    0.148052548830279875E+04    0.276304982406607902E+01    0.217887200290437733E+02   -0.767938633521971042E+03
    0.148149828833902734E+04    0.275955834513020637E+01    0.208500255227954483E+02   -0.767937289625543599E+03
    0.148195585225051809E+04    0.272005861402820415E+01    0.215149324230923753E+02   -0.767935015970969971E+03
    0.148204145593756562E+04    0.275091906653009044E+01    0.206041277905272295E+02   -0.767929701871435213E+03
    0.148204145593756562E+04    0.275091906653009044E+01    0.206041277905272295E+02   -0.767929701871435213E+03
    0.148182224628988843E+04    0.275329448880816186E+01    0.203813988335998886E+02   -0.767919924628485660E+03
    0.147821240725172242E+04    0.273622213283660898E+01    0.200668346912963074E+02   -0.767911255171615835E+03
    0.147821240725172242E+04    0.273622213283660898E+01    0.200668346912963074E+02   -0.767911255171615835E+03
    0.148061814337461828E+04    0.271530851691958164E+01    0.202456329174996057E+02   -0.767904287328748296E+03
    0.147884369487214508E+04    0.275153031589384289E+01    0.220654789255573434E+02   -0.767880108070556616E+03
    0.148052035726773943E+04    0.274136119613816387E+01    0.223314290098016244E+02   -0.767853505706902979E+03
    0.148050960233760270E+04    0.276826061839929949E+01    0.205763303752201949E+02   -0.767849954793904999E+03
    0.148105551124683916E+04    0.276369359307085771E+01    0.209817482468450862E+02   -0.767835456731937484E+03
    0.147870418890246128E+04    0.273609307842645411E+01    0.218215231198518325E+02   -0.767835224990986035E+03
    0.148219483183212469E+04    0.272438998752072248E+01    0.214941409750667844E+02   -0.767817012052948257E+03
    0.148074788821635616E+04    0.274614791571572336E+01    0.222573984676349426E+02   -0.767814232271556421E+03
    0.148074788821635616E+04    0.274614791571572336E+01    0.222573984676349426E+02   -0.767814232271556421E+03
    0.148162355275069785E+04    0.273909716320328966E+01    0.220195833580416007E+02   -0.767796914498022602E+03
    0.148162355275069785E+04    0.273909716320328966E+01    0.220195833580416007E+02   -0.767796914498022602E+03
    0.147979055265681041E+04    0.276572592494213776E+01    0.217409588653399055E+02   -0.767778684876208445E+03
    0.148058473416813240E+04    0.274557635751011331E+01    0.222783137793342974E+02   -0.767778291662711354E+03
    0.148227979879979125E+04    0.272906901531300061E+01    0.201419529695581616E+02   -0.767763458623110068E+03
    0.148010626601448234E+04    0.275279816677547506E+01    0.193916557386568371E+02   -0.767728404739531470E+03
    0.147840319952546179E+04    0.276264969141798034E+01    0.200995664367190443E+02   -0.767724343088056912E+03
    0.147840319952546179E+04    0.276264969141798034E+01    0.200995664367190443E+02   -0.767724343088056912E+03
    0.147840361972068899E+04    0.275774184977569581E+01    0.216180929866651752E+02   -0.767715151641703869E+03
    0.148098296496210446E+04    0.275351085138261675E+01    0.219383666099243584E+02   -0.767682450970799437E+03
    0.147973902218144849E+04    0.272226123312191248E+01    0.215808521639188484E+02   -0.767674302777468597E+03
    0.147952071113688862E+04    0.273625019533896063E+01    0.194227516186382161E+02   -0.767672976486020616E+03
    0.147842884657980176E+04    0.275356745057106167E+01    0.198075941717027462E+02   -0.767669738453315404E+03
    0.147842884657980176E+04    0.275356745057106167E+01    0.198075941717027462E+02   -0.767669738453315404E+03
    0.147920273321996001E+04    0.274514596201088912E+01    0.220996383677553183E+02   -0.767604362058741799E+03
    0.147959005192651011E+04    0.272007019165003161E+01    0.211524590367787368E+02   -0.767601004050513211E+03
    0.147954990258309954E+04    0.276866482223026589E+01    0.213419470716001740E+02   -0.767569303625005318E+03
    0.148198681688103261E+04    0.274762408743969777E+01    0.205936770578408073E+02   -0.767538027735549008E+03
    0.148139983459403720E+04    0.272663216505257555E+01    0.197990081372704907E+02   -0.767525182479277873E+03
    0.148139983459403720E+04    0.272663216505257555E+01    0.197990081372704907E+02   -0.767525182479277873E+03
    0.148177243625575807E+04    0.274022519463947845E+01    0.198954716765351804E+02   -0.767516470541668468E+03
    0.148216432691507703E+04    0.273764397422599348E+01    0.202747247699696800E+02   -0.767494334319039353E+03
    0.147905791269773272E+04    0.272880141476424987E+01    0.215258710599883756E+02   -0.767489239949452781E+03
    0.148175329463024536E+04    0.272008678650595126E+01    0.212027141507296477E+02   -0.767488961211178321E+03
    0.148175329463024536E+04    0.272008678650595126E+01    0.212027141507296477E+02   -0.767488961211178321E+03
    0.147965315324929043E+04    0.272316574875334050E+01    0.200536537663286651E+02   -0.767482754885932650E+03
    0.148160638148666271E+04    0.272483580454214591E+01    0.199929418301206425E+02   -0.767466012788000171E+03
    0.148164996240212145E+04    0.274895689482306871E+01    0.214851136956119007E+02   -0.767431559116624385E+03
    0.148054937509706178E+04    0.275598947645642367E+01    0.218832074588147805E+02   -0.767427068810467063E+03
    0.148054937509706178E+04    0.275598947645642367E+01    0.218832074588147805E+02   -0.767427068810467063E+03
    0.147910769185297477E+04    0.272685550156395085E+01    0.201492746214415348E+02   -0.767423887794863504E+03
    0.147910769185297477E+04    0.272685550156395085E+01    0.201492746214415348E+02   -0.767423887794863504E+03
    0.148070116728203402E+04    0.276401710875657347E+01    0.208861279313753698E+02   -0.767423230491636446E+03
    0.148105003617204443E+04    0.275539284476912982E+01    0.216114698713289357E+02   -0.767376810967742699E+03
    0.148216368058768512E+04    0.273885499843700764E+01    0.204725296268344295E+02   -0.767374120484719583E+03
    0.148216368058768512E+04    0.273885499843700764E+01    0.204725296268344295E+02   -0.767374120484719583E+03
    0.147893018102337601E+04    0.273393843053383367E+01    0.198858913413434379E+02   -0.767356868377401042E+03
    0.147893018102337601E+04    0.273393843053383367E+01    0.198858913413434379E+02   -0.767356868377401042E+03
    0.147966329657881465E+04    0.275895644146507868E+01    0.218519528852051224E+02   -0.767339064610288119E+03
    0.147880172047677524E+04    0.276618510466145384E+01    0.210566402947891049E+02   -0.767334602564196075E+03
    0.148010678248500108E+04    0.276272989396116975E+01    0.200203063954720335E+02   -0.767332187225946996E+03
    0.148010678248500108E+04    0.276272989396116975E+01    0.200203063954720335E+02   -0.767332187225946996E+03
    0.148108703471551144E+04    0.274411392906801765E+01    0.219639162031134703E+02   -0.767311605993491412E+03
    0.148108703471551144E+04    0.274411392906801765E+01    0.219639162031134703E+02   -0.767311605993491412E+03
    0.147918022440910181E+04    0.273341031147744351E+01    0.217310111246346906E+02   -0.767309313608988987E+03
    0.148014063477073887E+04    0.275961356512210276E+01    0.198461215248961054E+02   -0.767304026357399152E+03
    0.147838950932573562E+04    0.275043043016537681E+01    0.200564419034616463E+02   -0.767295538548640479E+03
