    0.126588501930236816E+04    0.519245791435241699E+01    0.906330585479736328E+02   -0.887816736236465804E+05   -0.460515351937698814E+01    1
    0.125617588162422180E+04    0.486178731918334961E+01   -0.434846997261047363E+02   -0.800226633042696049E+05   -0.461515351937698259E+01    1
    0.120463575124740601E+04    0.367466914653778076E+01   -0.919529557228088379E+02   -0.481176529502278572E+05   -0.462515351937698149E+01    1
    0.122235779762268066E+04    0.384966164827346802E+01    0.458883047103881836E+02   -0.425474719887586471E+05   -0.463515351937698661E+01    1
    0.136722963452339172E+04    0.466025239229202271E+01    0.371975660324096680E+02   -0.313873871536370898E+05   -0.464515351937698728E+01    1
    0.144836561679840088E+04    0.514777177572250366E+01   -0.774567484855651855E+02   -0.261575194264598467E+05   -0.465515351937698174E+01    1
    0.143129247426986694E+04    0.479454022645950317E+01    0.956872224807739258E+02   -0.213574592405139738E+05   -0.466515351937698153E+01    1
    0.138833248615264893E+04    0.395169842243194580E+01    0.616752266883850098E+02   -0.162636668973477263E+05   -0.467515351937698398E+01    1
    0.148123395442962646E+04    0.493576711416244507E+01    0.484381437301635742E+02   -0.149860972905408889E+05   -0.468515351937698377E+01    1
    0.137392659783363342E+04    0.347057807445526123E+01   -0.828392148017883301E+02   -0.137431844885130158E+05   -0.469515351937698444E+01    1
    0.125950886011123657E+04    0.295285898447036743E+01    0.555248975753784180E+02   -0.136595721106801284E+05   -0.470515351937698423E+01    1
    0.126931476593017578E+04    0.280830597877502441E+01   -0.767627716064453125E+02   -0.133957407644084651E+05   -0.471515351937698135E+01    1
    0.148435475230216980E+04    0.486598640680313110E+01    0.811483740806579590E+02   -0.131856313893563347E+05   -0.472515351937698025E+01    1
    0.148137064576148987E+04    0.484614485502243042E+01    0.334166288375854492E+01   -0.128113000179107294E+05   -0.473515351937698448E+01    1
    0.146368497610092163E+04    0.462551134824752808E+01    0.717438101768493652E+02   -0.104267845446854062E+05   -0.474515351937698782E+01    1
    0.126174010038375854E+04    0.258882832527160645E+01   -0.177893638610839844E+02   -0.949064439268042770E+04   -0.475515351937698494E+01    1
    0.187463170886039734E+04    0.254626864194869995E+01    0.613553404808044434E+02   -0.923911679238601937E+04   -0.476515351937698117E+01    1
    0.153628844022750854E+04    0.494471657276153564E+01   -0.473123788833618164E+02   -0.904669010534372865E+04   -0.477515351937698451E+01    1
    0.202225439548492432E+04    0.301419878005981445E+01   -0.543523311614990234E+02   -0.893154011877778248E+04   -0.478515351937698341E+01    1
    0.196504274010658264E+04    0.273373341560363770E+01   -0.120180964469909668E+02   -0.864621437463372604E+04   -0.479515351937697876E+01    1
    0.195746361613273621E+04    0.326966398954391479E+01   -0.474045634269714355E+02   -0.848698675225546140E+04   -0.480515351937698032E+01    1
    0.195523085594177246E+04    0.262082314491271973E+01    0.107974767684936523E+02   -0.843694965168459566E+04   -0.481515351937698277E+01    1
    0.194470967650413513E+04    0.364045202732086182E+01   -0.642913579940795898E+02   -0.842062982033206390E+04   -0.482515351937698345E+01    1
