Nested Sampling Global Log-Evidence           :   -0.204027059349810656E+04  +/-    0.775179952408635464E+00
Nested Importance Sampling Global Log-Evidence:   -0.204458321663858510E+04  +/-    0.409111844483073042E-01

Dim No.       Mean        Sigma
   1    0.230499335967918114E+04    0.478031035692494000E+00
   2    0.348270589456390622E+01    0.260577097394068535E-01
   3   -0.300914158063689208E+00    0.939490335138938050E-03
   4    0.628777972371349358E+00    0.474171421503606291E-02
   5    0.104992851445744351E+01    0.623438122118913265E-04
   6    0.299946299077480516E+01    0.507911187018317929E-03
   7   -0.933692805697274197E+00    0.290035317372961501E+02
   8    0.138445532607202959E+01    0.300603682316762644E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.230443623031143079E+04
   2    0.347866163764207581E+01
   3   -0.300319561130139800E+00
   4    0.631289533874573650E+00
   5    0.104999912889779989E+01
   6    0.299997187724889125E+01
   7   -0.138349375065212854E+02
   8    0.316641492068535086E+02

MAP Parameters
Dim No.        Parameter
   1    0.230443623031143079E+04
   2    0.347866163764207581E+01
   3   -0.300319561130139800E+00
   4    0.631289533874573650E+00
   5    0.104999912889779989E+01
   6    0.299997187724889125E+01
   7   -0.138349375065212854E+02
   8    0.316641492068535086E+02
