    0.230346672779263554E+04    0.354421540403624746E+01   -0.302927158872320801E+00    0.623131278044025239E+00    0.104989182764039457E+01    0.299969727037839418E+01   -0.410593649400005063E+02   -0.168830121811668548E+02   -0.201881045382973798E+04
    0.230488487116048327E+04    0.345926907680928064E+01   -0.303384143228051850E+00    0.620387270524293655E+00    0.104989044271729925E+01    0.299960387242972004E+01   -0.358227176436869641E+02   -0.113193011412668909E+02   -0.201739936661315323E+04
    0.230493610428982902E+04    0.350691446932182016E+01   -0.303132514279165655E+00    0.619170070138417294E+00    0.104953688713939308E+01    0.299985275716877542E+01   -0.441333483230856416E+02   -0.449539592195841351E+02   -0.201728691116049777E+04
    0.230628170828219754E+04    0.347453653291378961E+01   -0.303883453006630777E+00    0.631343982019998862E+00    0.104992361366033404E+01    0.299752342838870067E+01    0.347343343094095474E+02   -0.331674149274848418E+01   -0.201663009047559558E+04
    0.230458502463719924E+04    0.350280996857989813E+01   -0.304372104015514566E+00    0.626635202431541583E+00    0.104985950869614642E+01    0.299869142094932473E+01   -0.229811982062008759E+02   -0.380598785248832172E+01   -0.201631820705993846E+04
    0.230337599556292844E+04    0.348999488233311173E+01   -0.301840370606340391E+00    0.630175277302415959E+00    0.104999134982597297E+01    0.299975053849877993E+01    0.515770764094107648E+01   -0.112325348305436137E+02   -0.201555603880025706E+04
    0.230560381388830410E+04    0.352070929856312720E+01   -0.300154819873582779E+00    0.629422810476046202E+00    0.104990961143926564E+01    0.299974186355351602E+01   -0.355291301516370197E+02    0.242221556002914298E+02   -0.201554526143594785E+04
    0.230550772300837389E+04    0.351340759859916663E+01   -0.299598276969100685E+00    0.618039561576595231E+00    0.104994272790751997E+01    0.299878571202425093E+01   -0.300110545595358609E+02    0.399962496977271513E+02   -0.201547304378864419E+04
    0.230522975872207735E+04    0.345739789414112364E+01   -0.300099622336078453E+00    0.625754868981350909E+00    0.104979260204082703E+01    0.299824518614658597E+01   -0.449089055434835913E+02    0.291152910444601218E+02   -0.201514736273578660E+04
    0.230475469007532001E+04    0.347477121462914829E+01   -0.301737372243150559E+00    0.632712816112377840E+00    0.104992798834246925E+01    0.299797714828899942E+01    0.402789924606913274E+01    0.365269445889188376E+02   -0.201512604475362127E+04
    0.230508684529214679E+04    0.350539514727135071E+01   -0.301262769875727754E+00    0.621106224707715260E+00    0.104963575623711147E+01    0.299890571164887731E+01    0.116282262205521505E+02    0.265977912524412119E+01   -0.201511006857873554E+04
    0.230585667090993229E+04    0.348718213023371426E+01   -0.301224187384394992E+00    0.621509767502720134E+00    0.104981426435973035E+01    0.299838710266872077E+01    0.243508233796464282E+02   -0.468972383318212849E+01   -0.201509485005388456E+04
    0.230528062979310016E+04    0.351773025931782879E+01   -0.300076864415500466E+00    0.617828619328133044E+00    0.104969276004579526E+01    0.299881268380349875E+01    0.288951929351662073E+02    0.407213024078731678E+01   -0.201497239866266113E+04
