    0.108404719829559326E+04    0.435186702013015747E+01    0.435899019241332564E-01    0.469078826904296808E+00    0.102734506368637080E+01    0.764621675014495850E+00    0.289488255977630615E+02   -0.242032587528228760E+02   -0.117772083532034373E+07   -0.391195633965034517E+01    1
    0.834681451320648193E+03    0.286710339784622192E+01    0.177009201049804665E+00    0.445490598678588867E+00    0.101081327915191643E+01    0.165422576665878296E+01    0.388001203536987305E+02    0.205430805683135986E+02   -0.117730745399590256E+07   -0.393195633965034208E+01    1
    0.889627242088317871E+03    0.388002908229827881E+01   -0.457128167152404785E+00    0.622023987770080611E+00    0.104323456287384042E+01    0.183252173662185669E+01    0.355451583862304688E+02   -0.368118762969970703E+02   -0.117354518691317318E+07   -0.395195633965034165E+01    1
    0.116566631793975830E+04    0.370917826890945435E+01    0.248702645301818848E+00    0.408455371856689453E+00    0.101665443420410151E+01    0.949993014335632324E+00   -0.258411467075347900E+02   -0.117905139923095703E+02   -0.117123225773810525E+07   -0.397195633965034300E+01    1
    0.881844532489776611E+03    0.325386166572570801E+01   -0.342036795616149913E+00    0.333241534233093217E+00    0.102960108757019042E+01    0.293246346712112427E+01   -0.128812432289123535E+02    0.367543756961822510E+02   -0.116919877967477450E+07   -0.399195633965034391E+01    1
    0.134377551078796387E+04    0.304031956195831299E+01   -0.554228639602661111E+00    0.462348222732543945E+00    0.102080878496170047E+01    0.745843380689620972E+00   -0.318042933940887451E+02    0.103846967220306396E+02   -0.116893392723724945E+07   -0.401195633965034215E+01    1
    0.108627877235412598E+04    0.405897623300552368E+01   -0.509316658973693825E+00    0.301134586334228516E+00    0.104256396770477289E+01    0.140261504054069519E+01    0.407209396362304688E+01    0.209237277507781982E+02   -0.116612687714805547E+07   -0.403195633965034173E+01    1
    0.108739036321640015E+04    0.496874362230300903E+01    0.105331850051879838E+00    0.679157948493957497E+00    0.104865479469299316E+01    0.197899866104125977E+01   -0.146614372730255127E+02   -0.335066080093383789E+02   -0.116346037772345077E+07   -0.405195633965034396E+01    1
    0.151192824840545654E+04    0.365900379419326782E+01    0.888834714889525923E-01    0.462296271324157682E+00    0.103464037418365473E+01    0.126727658510208130E+01    0.317095994949340820E+02   -0.403855562210083008E+02   -0.115980671054387372E+07   -0.407195633965034443E+01    1
    0.131024328470230103E+04    0.307812833786010742E+01    0.985605239868163618E-01    0.375286531448364213E+00    0.104888093948364269E+01    0.185825157165527344E+01   -0.177283883094787598E+01    0.308995366096496582E+02   -0.115895424486846989E+07   -0.409195633965034400E+01    1
    0.134871348142623901E+04    0.279846495389938354E+01    0.571971917152404807E+00    0.615746331214904741E+00    0.103461137056350716E+01    0.141146543622016907E+01   -0.279921054840087891E+02   -0.118913888931274414E+02   -0.115480785370467533E+07   -0.411195633965034357E+01    1
    0.184735436439514160E+04    0.365940290689468384E+01    0.271664643287658714E+00    0.315971660614013661E+00    0.101412832498550420E+01    0.543309479951858521E+00    0.288859724998474121E+02    0.763742923736572266E+01   -0.115030221658979822E+07   -0.413195633965034226E+01    1
    0.207453838586807251E+04    0.293325221538543701E+01   -0.245983958244323730E+00    0.636529684066772461E+00    0.101498317003250116E+01    0.534944564104080200E+00    0.279260754585266113E+02    0.174300491809844971E+02   -0.114144503676937963E+07   -0.415195633965034450E+01    1
    0.151388064622879028E+04    0.361138564348220825E+01    0.572266101837158092E+00    0.649202609062194735E+00    0.103228050708770747E+01    0.159093129634857178E+01    0.168678760528564453E+01    0.209862589836120605E+01   -0.113797523842029157E+07   -0.417195633965034762E+01    1
