    0.133933669924736023E+04    0.523547410964965820E+01   -0.264749884605407715E+02   -0.603578198774631892E+05   -0.460515351937698814E+01    1
    0.121498224139213562E+04    0.422156459093093872E+01   -0.994232058525085449E+02   -0.594362148559220077E+05   -0.461515351937698259E+01    1
    0.133663519620895386E+04    0.485909187793731689E+01    0.845279097557067871E+02   -0.520600767433269357E+05   -0.462515351937698149E+01    1
    0.120522010922431946E+04    0.372938889265060425E+01   -0.906430721282958984E+02   -0.488619016192852869E+05   -0.463515351937698661E+01    1
    0.141669558286666870E+04    0.526972341537475586E+01   -0.482399821281433105E+02   -0.365564073186464593E+05   -0.464515351937698728E+01    1
    0.139215193986892700E+04    0.487311625480651855E+01   -0.506506443023681641E+02   -0.349370580596502405E+05   -0.465515351937698174E+01    1
    0.132689008712768555E+04    0.424064564704895020E+01   -0.419460296630859375E+02   -0.315204926753446234E+05   -0.466515351937698153E+01    1
    0.143226907253265381E+04    0.521798843145370483E+01    0.459084272384643555E+02   -0.296752189815378988E+05   -0.467515351937698398E+01    1
    0.120070605278015137E+04    0.310286492109298706E+01    0.228369474411010742E+02   -0.258758417149213928E+05   -0.468515351937698377E+01    1
    0.127163223624229431E+04    0.327723997831344604E+01   -0.375155210494995117E+01   -0.186836984399826979E+05   -0.469515351937698444E+01    1
    0.148206261396408081E+04    0.508593237400054932E+01    0.246058702468872070E+02   -0.174704122713344514E+05   -0.470515351937698423E+01    1
    0.137556679248809814E+04    0.337460309267044067E+01   -0.569880366325378418E+02   -0.124877797561433545E+05   -0.471515351937698135E+01    1
    0.124428961277008057E+04    0.271014088392257690E+01    0.499341011047363281E+02   -0.116200631009393801E+05   -0.472515351937698025E+01    1
    0.142140236496925354E+04    0.412966209650039673E+01    0.417201638221740723E+02   -0.108950401038443142E+05   -0.473515351937698448E+01    1
    0.133591931462287903E+04    0.298472148180007935E+01   -0.268702983856201172E+02   -0.106938404376625986E+05   -0.474515351937698782E+01    1
    0.182340376973152161E+04    0.264867573976516724E+01   -0.872041940689086914E+02   -0.101984660284146848E+05   -0.475515351937698494E+01    1
    0.155219094157218933E+04    0.523608154058456421E+01   -0.592541694641113281E+00   -0.966090872293455686E+04   -0.476515351937698117E+01    1
    0.142273948788642883E+04    0.397950899600982666E+01    0.194074988365173340E+02   -0.921010135188266577E+04   -0.477515351937698451E+01    1
    0.176833803653717041E+04    0.290142101049423218E+01   -0.787647604942321777E+02   -0.896001991413176074E+04   -0.478515351937698341E+01    1
    0.205457090139389038E+04    0.263683164119720459E+01   -0.291835308074951172E+02   -0.889364291603263337E+04   -0.479515351937697876E+01    1
    0.197657902240753174E+04    0.285395663976669312E+01    0.939668416976928711E+02   -0.887768051569189083E+04   -0.480515351937698032E+01    1
    0.135343292951583862E+04    0.295626020431518555E+01    0.284138083457946777E+02   -0.887257821325702935E+04   -0.481515351937698277E+01    1
    0.138750281333923340E+04    0.320236754417419434E+01    0.445521831512451172E+02   -0.866923579174684346E+04   -0.482515351937698345E+01    1
    0.191191551089286804E+04    0.503027689456939697E+01   -0.883610248565673828E+02   -0.851264370355205756E+04   -0.483515351937698323E+01    1
    0.137955769300460815E+04    0.254576885700225830E+01   -0.351873636245727539E+02   -0.850592036241422829E+04   -0.484515351937698480E+01    1
    0.139355067014694214E+04    0.300740814208984375E+01    0.256714463233947754E+02   -0.820229801696801223E+04   -0.485515351937698814E+01    1
    0.201966344118118286E+04    0.394963240623474121E+01   -0.707745432853698730E+02   -0.813444327666547179E+04   -0.486515351937698437E+01    1
    0.159572637081146240E+04    0.543963956832885742E+01   -0.548451542854309082E+02   -0.795448954470129138E+04   -0.487515351937698149E+01    1
    0.139008930921554565E+04    0.254975122213363647E+01   -0.189914345741271973E+02   -0.786354940490400895E+04   -0.488515351937698572E+01    1
    0.197404501438140869E+04    0.477978754043579102E+01   -0.970635533332824707E+02   -0.777395519762099138E+04   -0.489515351937698817E+01    1
    0.207121846675872803E+04    0.358400636911392212E+01   -0.630640983581542969E+02   -0.776733275223593864E+04   -0.490515351937698973E+01    1
    0.200718643069267273E+04    0.322863209247589111E+01   -0.216087102890014648E+01   -0.754112599088289335E+04   -0.491515351937698775E+01    1
