    0.190637510357063184E+04    0.442072612957492961E+01   -0.255380898086806085E-01    0.252019318989689822E+00   -0.200928228638222208E+02
    0.198101567421404889E+04    0.428591983182645375E+01   -0.145587510177361323E+00    0.135132888640473930E+00   -0.190151277384550532E+02
    0.195785003248541057E+04    0.437855935801790075E+01    0.297216074571859390E+00    0.432078476110335674E+00   -0.188869144557777666E+02
    0.197450508473180662E+04    0.418514616794197103E+01   -0.843699527005021821E-01    0.387781006380060633E+00   -0.187431054658504408E+02
    0.188150978448506771E+04    0.337149218425686037E+01    0.640925780245171772E-02    0.511133930624177335E+00   -0.186299551789095936E+02
    0.191310651203610405E+04    0.475045840332925806E+01    0.306694314518481947E-01    0.134043333250891211E+00   -0.185233056374385612E+02
    0.188193255809172433E+04    0.366864062659350987E+01    0.128425636007321486E+00    0.635009113819059778E+00   -0.180539709742715395E+02
    0.190241422653198242E+04    0.302159535884857178E+01   -0.193643361330032349E+00    0.209118944406509411E+00   -0.180391685783944737E+02
    0.195338108450068717E+04    0.472206381510668560E+01    0.169391866008766767E-01    0.355284428949818820E+00   -0.179259446025050231E+02
    0.196583747627769617E+04    0.342903411505109368E+01   -0.216599514980758356E+00    0.546866786734701460E+00   -0.177662835866016842E+02
    0.188690594809779122E+04    0.448137384625243307E+01   -0.206144565578259720E+00    0.285466395253291205E+00   -0.173698514901009524E+02
    0.189529478240256503E+04    0.482037799890651897E+01   -0.180619975453278070E+00    0.364861949449052148E+00   -0.172999123175647753E+02
    0.188177572134847992E+04    0.329260276237700156E+01   -0.185924783548251871E+00    0.180529209384301864E+00   -0.172779615869704060E+02
    0.190834628989303292E+04    0.402865888479299006E+01   -0.613675555766657332E-01    0.216470171428403968E+00   -0.172509567503262922E+02
    0.186061530110424383E+04    0.340531966103975448E+01   -0.288324360638180233E-01    0.558022947096353250E+00   -0.171944220866329118E+02
    0.191118028475345614E+04    0.414373743621371826E+01   -0.491250865830515304E+00    0.321736860604330877E+00   -0.170517557757038780E+02
    0.190567557359825673E+04    0.452777574446769648E+01   -0.424222427328062757E+00    0.127337082665894136E+00   -0.169328391650627914E+02
    0.188058900833129883E+04    0.307403922080993652E+01   -0.144724696874618530E+00    0.141409116983413713E+00   -0.169191652921176683E+02
    0.198085448946588986E+04    0.449615720351646697E+01   -0.164346760657116620E+00    0.250108403986171735E+00   -0.168312642671764969E+02
    0.190155357697117620E+04    0.474487388037299507E+01   -0.323804472290490364E+00    0.133775791667290977E+00   -0.167871076821109924E+02
    0.190235884735865375E+04    0.312129863513702333E+01   -0.325121873724235178E+00    0.269953952821486931E+00   -0.167863427871979631E+02
    0.193901287657213015E+04    0.499088504629076368E+01   -0.147099514837698342E+00    0.252452535752346496E+00   -0.166349103134843546E+02
    0.190908222263600669E+04    0.490174867429890426E+01   -0.468883019195895145E+00    0.116508093218868708E+00   -0.164960546539069988E+02
    0.192410057716932170E+04    0.466370409871522718E+01   -0.243159827234888715E+00    0.389542912687182663E+00   -0.164861088615550315E+02
    0.184932877041954930E+04    0.312561473785730914E+01   -0.115764868066902893E+00    0.639598018511255639E+00   -0.164595836600229575E+02
    0.194343914067423884E+04    0.465028418169243274E+01   -0.495533825289249275E+00    0.441287252025158061E+00   -0.162952698036103634E+02
    0.198856687545776367E+04    0.423756074905395508E+01   -0.302244484424591064E+00    0.284048438072204590E+00   -0.162703906265412321E+02
    0.186954676066023467E+04    0.342387389313030566E+01    0.150081931602146224E-01    0.593431582233222454E+00   -0.162393250341457502E+02
    0.191898886846390224E+04    0.454891382775474895E+01   -0.546780736410616974E-01    0.550446501785297526E+00   -0.162076417187442274E+02
    0.194406913827507697E+04    0.367978595572841316E+01   -0.219655065831245055E+00    0.385667210338751176E+00   -0.161957248383909729E+02
    0.188171387982262968E+04    0.393118930178826798E+01   -0.453027895728422558E+00    0.337380741266802564E+00   -0.161603573257128659E+02
    0.193338829032603462E+04    0.465399596200616639E+01   -0.498743910536094237E+00    0.370784089395364891E+00   -0.161462390319419598E+02
    0.199664749613796653E+04    0.394866834346583007E+01   -0.455790082751080128E+00    0.339917525816387234E+00   -0.161445101340358761E+02
    0.192062763256558446E+04    0.384360966282797323E+01   -0.200325660489150070E+00    0.156162089002509163E+00   -0.161235776288475101E+02
    0.193920896391282258E+04    0.338691921230823034E+01   -0.173678884467399708E+00    0.134664311183886803E+00   -0.161161187358140801E+02
    0.192417411793213159E+04    0.331149176066989170E+01   -0.271392769191595107E+00    0.400864078609345365E+00   -0.160578170627521217E+02
    0.198445134145610950E+04    0.488636462014386552E+01   -0.131801327956747705E+00    0.187608068049628818E+00   -0.160283429010626719E+02
    0.185845519364849520E+04    0.355375066256595762E+01   -0.130217540822243516E+00    0.528827581590003870E+00   -0.160142296539818858E+02
    0.196836009119466644E+04    0.371231365315506068E+01   -0.334172824350276731E+00    0.233028371566857045E+00   -0.160125707404651116E+02
    0.197405509763746522E+04    0.492090563113473856E+01   -0.146513427453055844E+00    0.220988419943835751E+00   -0.160051602704294318E+02
    0.186684925874767032E+04    0.314914603760433254E+01   -0.123722407911597554E+00    0.687292116384519036E+00   -0.159934004942228203E+02
    0.190616329239871698E+04    0.483275181907965656E+01   -0.368136491314369207E+00    0.290681747190555673E+00   -0.159795196784174109E+02
    0.195588103468991767E+04    0.445733464576019855E+01   -0.284188835780290860E+00    0.300876274088531015E+00   -0.159413878002102738E+02
    0.191201718934297810E+04    0.424887214153493353E+01   -0.312339628724611407E+00    0.285569400871760526E+00   -0.159364115710934175E+02
    0.191941496940403749E+04    0.494196665525491063E+01   -0.314674811820162437E+00    0.140646539154185013E+00   -0.159302319023276073E+02
    0.195919246673583984E+04    0.415699958801269531E+01   -0.465151935815811157E+00    0.363736927509307861E+00   -0.158932904421855881E+02
