    0.701083755493164062E+03    0.381704056262969971E+01    0.872946619987487793E+00    0.765109473466873191E+00   -0.729662594306993810E+03   -0.460515351937698814E+01    1
    0.424634170532226562E+03    0.463390922546386719E+01    0.248912274837493896E-01    0.685481274127960227E+00   -0.618902386186121475E+03   -0.461515351937698259E+01    1
    0.428393936157226562E+03    0.321934318542480469E+01    0.136884093284606934E+00    0.506597840785980247E+00   -0.618495759713208372E+03   -0.462515351937698149E+01    1
    0.400542831420898438E+03    0.393951058387756348E+01    0.731832563877105713E+00    0.424694389104843140E+00   -0.618199930142152994E+03   -0.463515351937698661E+01    1
    0.425952243804931641E+03    0.398842012882232666E+01    0.797512710094451904E+00    0.201645976305007968E+00   -0.614560043552030493E+03   -0.464515351937698728E+01    1
    0.465936374664306641E+03    0.499004304409027100E+01    0.575817674398422241E+00    0.362528455257415838E+00   -0.610321448429388511E+03   -0.465515351937698174E+01    1
    0.414898204803466797E+03    0.327950572967529297E+01   -0.489271968603134155E+00    0.299285686016082797E+00   -0.607377092557818969E+03   -0.466515351937698153E+01    1
    0.481172752380371094E+03    0.367196059226989746E+01    0.368962049484252930E+00    0.625457370281219505E+00   -0.602355666258355882E+03   -0.467515351937698398E+01    1
    0.447057533264160156E+03    0.415934455394744873E+01   -0.140982300043106079E+00    0.220713669061660789E+00   -0.589878654170648133E+03   -0.468515351937698377E+01    1
    0.467923450469970703E+03    0.325192022323608398E+01    0.761647731065750122E+00    0.240456736087799078E+00   -0.586606685907535507E+03   -0.469515351937698444E+01    1
    0.522383499145507812E+03    0.310271012783050537E+01    0.704584181308746338E+00    0.699213021993637107E+00   -0.585540433703041913E+03   -0.470515351937698423E+01    1
    0.560453510284423828E+03    0.306624925136566162E+01    0.452288985252380371E-02    0.624243307113647505E+00   -0.574503908115957415E+03   -0.471515351937698135E+01    1
    0.535792541503906250E+03    0.423372066020965576E+01   -0.353417634963989258E+00    0.563332158327102706E+00   -0.571827609449361603E+03   -0.472515351937698025E+01    1
    0.549941349029541016E+03    0.373359644412994385E+01    0.916507840156555176E+00    0.554396039247512906E+00   -0.568994307017127994E+03   -0.473515351937698448E+01    1
    0.600431060791015625E+03    0.352872931957244873E+01   -0.345906823873519897E+00    0.522993326187133789E+00   -0.564983657872445519E+03   -0.474515351937698782E+01    1
    0.544474983215332031E+03    0.484419977664947510E+01    0.253164023160934448E+00    0.257530975341796919E+00   -0.564304077609956039E+03   -0.475515351937698494E+01    1
    0.595866489410400391E+03    0.310636425018310547E+01   -0.992216467857360840E-01    0.693045741319656461E+00   -0.564031787939346032E+03   -0.476515351937698117E+01    1
    0.542801666259765625E+03    0.421242594718933105E+01   -0.231515973806381226E+00    0.344199806451797485E+00   -0.560650742639349460E+03   -0.477515351937698451E+01    1
    0.537325859069824219E+03    0.412334048748016357E+01    0.566184788942337036E+00    0.151973277330398560E+00   -0.557570207825228067E+03   -0.478515351937698341E+01    1
